    8 00000000 ADDI,  ra, z0, 0x00000000, rd:0x00000000
    9 00000004 ADDI,  sp, z0, 0x00000000, rd:0x00000000
   10 00000008 ADDI,  gp, z0, 0x00000000, rd:0x00000000
   11 0000000c ADDI,  tp, z0, 0x00000000, rd:0x00000000
   12 00000010 ADDI,  t0, z0, 0x00000000, rd:0x00000000
   13 00000014 ADDI,  t1, z0, 0x00000000, rd:0x00000000
   14 00000018 ADDI,  t2, z0, 0x00000000, rd:0x00000000
   15 0000001c ADDI,  s0, z0, 0x00000000, rd:0x00000000
   16 00000020 ADDI,  s1, z0, 0x00000000, rd:0x00000000
   17 00000024 ADDI,  a0, z0, 0x00000000, rd:0x00000000
   18 00000028 ADDI,  a1, z0, 0x00000000, rd:0x00000000
   19 0000002c ADDI,  a2, z0, 0x00000000, rd:0x00000000
   20 00000030 ADDI,  a3, z0, 0x00000000, rd:0x00000000
   21 00000034 ADDI,  a4, z0, 0x00000000, rd:0x00000000
   22 00000038 ADDI,  a5, z0, 0x00000000, rd:0x00000000
   23 0000003c ADDI,  a6, z0, 0x00000000, rd:0x00000000
   24 00000040 ADDI,  a7, z0, 0x00000000, rd:0x00000000
   25 00000044 ADDI,  s2, z0, 0x00000000, rd:0x00000000
   26 00000048 ADDI,  s3, z0, 0x00000000, rd:0x00000000
   27 0000004c ADDI,  s4, z0, 0x00000000, rd:0x00000000
   28 00000050 ADDI,  s5, z0, 0x00000000, rd:0x00000000
   29 00000054 ADDI,  s6, z0, 0x00000000, rd:0x00000000
   30 00000058 ADDI,  s7, z0, 0x00000000, rd:0x00000000
   31 0000005c ADDI,  s8, z0, 0x00000000, rd:0x00000000
   32 00000060 ADDI,  s9, z0, 0x00000000, rd:0x00000000
   33 00000064 ADDI,  s10,z0, 0x00000000, rd:0x00000000
   34 00000068 ADDI,  s11,z0, 0x00000000, rd:0x00000000
   35 0000006c ADDI,  t3, z0, 0x00000000, rd:0x00000000
   36 00000070 ADDI,  t4, z0, 0x00000000, rd:0x00000000
   37 00000074 ADDI,  t5, z0, 0x00000000, rd:0x00000000
   38 00000078 ADDI,  t6, z0, 0x00000000, rd:0x00000000
   39 0000007c AUIPC, gp, pc, 0x00011000, rd:0x0001107c
   40 00000080 ADDI,  gp, gp, 0x00000784, rd:0x00011800
   41 00000084 AUIPC, a0, pc, 0x00011000, rd:0x00011084
   42 00000088 ADDI,  a0, a0, 0xffffff7c, rd:0x00011000
   43 0000008c AUIPC, a1, pc, 0x00011000, rd:0x0001108c
   44 00000090 ADDI,  a1, a1, 0xffffff70, rd:0x00010ffc
   45 00000094 ADDI,  a2, z0, 0x00000000, rd:0x00000000
   46 00000098 JAL,   ra,     0x0000012c, rd:0x0000009c
   50 0000012c BLTU,  a1, a0, 0x0000013c, 
   54 0000013c JALR,  z0, ra, 0x00000000, 
   58 0000009c AUIPC, a0, pc, 0x00011000, rd:0x0001109c
   59 000000a0 ADDI,  a0, a0, 0xffffff64, rd:0x00011000
   60 000000a4 AUIPC, a1, pc, 0x00011000, rd:0x000110a4
   61 000000a8 ADDI,  a1, a1, 0xffffff58, rd:0x00010ffc
   62 000000ac ADDI,  a2, z0, 0x00000000, rd:0x00000000
   63 000000b0 JAL,   ra,     0x0000012c, rd:0x000000b4
   67 0000012c BLTU,  a1, a0, 0x0000013c, 
   71 0000013c JALR,  z0, ra, 0x00000000, 
   75 000000b4 AUIPC, a0, pc, 0x00011000, rd:0x000110b4
   76 000000b8 ADDI,  a0, a0, 0xffffff4c, rd:0x00011000
   77 000000bc AUIPC, a1, pc, 0x00012000, rd:0x000120bc
   78 000000c0 ADDI,  a1, a1, 0xffffff40, rd:0x00011ffc
   79 000000c4 ADDI,  a2, z0, 0x00000000, rd:0x00000000
   80 000000c8 JAL,   ra,     0x0000012c, rd:0x000000cc
   84 0000012c BLTU,  a1, a0, 0x0000013c, 
   85 00000130 SW,    a2, a0, 0x00000000, sram1[0x00011000]=0x00000000
   86 00000134 ADDI,  a0, a0, 0x00000004, rd:0x00011004
   87 00000138 JAL,   z0,     0x8000012c, rd:0x00000000
skip1--------
 7245 8000012c BLTU,  a1, a0, 0x8000013c, 
 7246 80000130 SW,    a2, a0, 0x00000000, sram1[0x00011ffc]=0x00000000
 7247 80000134 ADDI,  a0, a0, 0x00000004, rd:0x00012000
 7248 80000138 JAL,   z0,     0x0000012c, rd:0x00000000
 7252 0000012c BLTU,  a1, a0, 0x0000013c, 
 7256 0000013c JALR,  z0, ra, 0x00000000, 
 7260 000000cc AUIPC, sp, pc, 0x00012000, rd:0x000120cc
 7261 000000d0 ADDI,  sp, sp, 0xffffff34, rd:0x00012000
 7262 000000d4 AUIPC, a0, pc, 0x00010000, rd:0x000100d4
 7263 000000d8 ADDI,  a0, a0, 0xffffff2c, rd:0x00010000
 7264 000000dc AUIPC, a1, pc, 0x00011000, rd:0x000110dc
 7265 000000e0 ADDI,  a1, a1, 0xffffff20, rd:0x00010ffc
 7266 000000e4 ADDI,  a2, z0, 0x00000000, rd:0x00000000
 7267 000000e8 JAL,   ra,     0x0000012c, rd:0x000000ec
 7271 0000012c BLTU,  a1, a0, 0x0000013c, 
 7272 00000130 SW,    a2, a0, 0x00000000, sram1[0x00010000]=0x00000000
 7273 00000134 ADDI,  a0, a0, 0x00000004, rd:0x00010004
 7274 00000138 JAL,   z0,     0x8000012c, rd:0x00000000
skip2--------
14432 8000012c BLTU,  a1, a0, 0x8000013c, 
14433 80000130 SW,    a2, a0, 0x00000000, sram1[0x00010ffc]=0x00000000
14434 80000134 ADDI,  a0, a0, 0x00000004, rd:0x00011000
14435 80000138 JAL,   z0,     0x0000012c, rd:0x00000000
14439 0000012c BLTU,  a1, a0, 0x0000013c, 
14443 0000013c JALR,  z0, ra, 0x00000000, 
14447 000000ec JAL,   ra,     0x00000140, rd:0x000000f0
14451 00000140 ADDI,  sp, sp, 0xfffffffc, rd:0x00011ffc
14452 00000144 SW,    s0, sp, 0x00000000, sram1[0x00011ffc]=0x00000000
14453 00000148 AUIPC, s0, pc, 0x00010000, rd:0x00010148
14454 0000014c ADDI,  s0, s0, 0xfffffeb8, rd:0x00010000
14455 00000150 ADDI,  t0, z0, 0xffffffff, rd:0xffffffff
14456 00000154 ADDI,  t1, z0, 0xffffffff, rd:0xffffffff
14457 00000158 ADD,   t0, t0, t1,         rd:0xfffffffe
14458 0000015c ADD,   t0, t0, t1,         rd:0xfffffffd
14459 00000160 ADD,   t0, t0, t1,         rd:0xfffffffc
14460 00000164 ADD,   t0, t0, t1,         rd:0xfffffffb
14461 00000168 ADD,   t0, t0, t1,         rd:0xfffffffa
14462 0000016c ADDI,  t1, z0, 0xfffffffe, rd:0xfffffffe
14463 00000170 ADD,   t0, t1, t0,         rd:0xfffffff8
14464 00000174 ADD,   t0, t1, t0,         rd:0xfffffff6
14465 00000178 ADD,   t0, t1, t0,         rd:0xfffffff4
14466 0000017c ADD,   t0, t1, t0,         rd:0xfffffff2
14467 00000180 ADD,   t0, t1, t0,         rd:0xfffffff0
14468 00000184 SW,    t0, s0, 0x00000000, sram1[0x00010000]=0xfffffff0
14469 00000188 ADDI,  s0, s0, 0x00000004, rd:0x00010004
14470 0000018c ADDI,  t0, z0, 0x00000000, rd:0x00000000
14471 00000190 ADDI,  t1, z0, 0xffffffff, rd:0xffffffff
14472 00000194 SUB,   t0, t0, t1,         rd:0x00000001
14473 00000198 SUB,   t0, t0, t1,         rd:0x00000002
14474 0000019c SUB,   t0, t0, t1,         rd:0x00000003
14475 000001a0 SUB,   t0, t0, t1,         rd:0x00000004
14476 000001a4 SUB,   t0, t0, t1,         rd:0x00000005
14477 000001a8 ADDI,  t1, z0, 0xfffffffd, rd:0xfffffffd
14478 000001ac SUB,   t0, t1, t0,         rd:0xfffffff8
14479 000001b0 SUB,   t0, t1, t0,         rd:0x00000005
14480 000001b4 SUB,   t0, t1, t0,         rd:0xfffffff8
14481 000001b8 SUB,   t0, t1, t0,         rd:0x00000005
14482 000001bc SUB,   t0, t1, t0,         rd:0xfffffff8
14483 000001c0 SW,    t0, s0, 0x00000000, sram1[0x00010004]=0xfffffff8
14484 000001c4 ADDI,  s0, s0, 0x00000004, rd:0x00010008
14485 000001c8 ADDI,  t0, z0, 0x00000001, rd:0x00000001
14486 000001cc ADDI,  t1, z0, 0x00000001, rd:0x00000001
14487 000001d0 SLL,   t0, t0, t1,         rd:0x00000002
14488 000001d4 SLL,   t0, t0, t1,         rd:0x00000004
14489 000001d8 SLL,   t0, t0, t1,         rd:0x00000008
14490 000001dc SLL,   t0, t0, t1,         rd:0x00000010
14491 000001e0 SLL,   t0, t0, t1,         rd:0x00000020
14492 000001e4 ADDI,  t1, z0, 0x00000002, rd:0x00000002
14493 000001e8 SLL,   t0, t1, t0,         rd:0x00000002
14494 000001ec SLL,   t0, t1, t0,         rd:0x00000008
14495 000001f0 SLL,   t0, t1, t0,         rd:0x00000200
14496 000001f4 SLL,   t0, t1, t0,         rd:0x00000002
14497 000001f8 SLL,   t0, t1, t0,         rd:0x00000008
14498 000001fc SW,    t0, s0, 0x00000000, sram1[0x00010008]=0x00000008
